212,28,4,4,7,4,5,+21.614,47,8,192.823
213,28,1,1,1,5,4,+23.048,15,3,193.533
214,28,12,4,10,6,3,+32.298,64,4,193.428
215,28,15,7,9,7,2,+36.449,65,5,193.189
216,28,9,2,4,8,1,+48.321,70,9,192.475
217,28,17,9,8,9,0,+58.834,67,10,192.043
218,28,2,2,15,10,0,+1:07.709,67,11,191.908
219,28,14,9,13,11,0,+1:10.407,67,16,190.634
220,28,18,11,12,12,0,\N,63,13,191.409
221,28,6,3,16,13,0,\N,67,18,189.319
222,28,3,3,14,14,0,\N,57,12,191.409
223,28,21,10,18,15,0,\N,68,15,190.844
224,28,22,11,17,16,0,\N,65,14,191.319
225,28,13,6,3,17,0,\N,16,2,193.861
226,28,7,5,19,18,0,\N,29,17,189.516
227,28,16,10,20,19,0,\N,29,19,188.542
228,28,20,5,11,20,0,\N,17,20,187.262
229,29,13,6,1,1,10,1:35:32.339,36,1,197.637
230,29,1,1,2,2,8,+5.611,16,2,197.285
231,29,9,2,3,3,6,+37.353,38,4,196.399
232,29,5,1,5,4,5,+39.703,19,3,196.831
233,29,15,7,7,5,4,+50.684,37,12,195.755
234,29,20,5,6,6,3,+52.625,36,6,196.093
235,29,10,7,13,7,2,+1:07.990,54,8,195.995
236,29,3,3,9,8,1,+1:11.457,35,10,195.912
237,29,2,2,8,9,0,+1:22.177,57,7,196.013
238,29,7,5,10,10,0,+1:29.794,35,11,195.790
239,29,12,4,15,11,0,+1:32.717,29,9,195.977
240,29,17,9,14,12,0,\N,27,14,194.570
241,29,18,11,16,13,0,\N,21,18,193.606
242,29,21,10,18,14,0,\N,54,15,194.397
243,29,6,3,11,15,0,\N,56,13,195.469
244,29,22,11,19,16,0,\N,56,16,193.933
245,29,14,9,17,17,0,\N,13,19,193.194
246,29,8,6,4,18,0,\N,34,5,196.214
247,29,16,10,20,19,0,\N,28,17,193.802
248,29,4,4,12,20,0,\N,\N,\N,\N
249,30,13,6,2,1,10,1:22:59.394,26,3,232.987
250,30,2,2,5,2,8,+9.383,36,7,231.182
